ReviewBody,subjetivo,polaridade
['Prato principal: fui no prato a base de Leitoa e pra fechar brownie com sorvete  de creme e whisky (preferi o profiteroles da vez anterior).'],[0.25],[0.0]
"['Todos os pratos, de uma maneira geral, são feitos sob medida.']",[0.5],[0.05000000000000002]
"['Sem exagero, mas não muito minguado.']",[1.0],[-0.6]
"['Os valores, são caros!']",[0.7],[-0.625]
['Natural pela demanda e qualidade.'],[0.3875],[-0.012499999999999997]
"['Otimista atendimento, instalações minuciosamente devorada é uma cozinha aquário com os Chefs preparando e todo restaurante podendo acompanhar como uma vitrine de um shopping.']",[0.625],[0.5]
['Vale a experiência!'],[0.1],[0.375]
"['Cerveja gelada, ótimas opções de tira-gosto.']",[0.875],[0.10000000000000003]
['O som também é muito legal e com frequência há shows ao vivo.'],[0.5816666666666667],[0.33045454545454545]
['Restaurante organizado.'],[0.0],[0.0]
['Preços acessíveis.'],[0.0],[0.0]
['Bom atendimento.'],[0.6000000000000001],[0.7]
['Boa diversidade de pratos e opções.'],[0.6000000000000001],[0.7]
['Funcionários cortês.'],[1.0],[0.6]
['Gnochi a la salsa com camarão DIVINO!'],[0.0],[0.0]
['Uma excelente pedida para quem aprecia esse tipo de massa.'],[1.0],[1.0]
"['Prato suculento e bem servido, num ambiente intimista e charmoso.']",[0.8],[0.44999999999999996]
"['Lugar muito bem planejado, aconchegante e maravilhoso.']",[0.6833333333333332],[0.3333333333333333]
['O petit gateau do mercato é sensacional.'],[0.6666666666666666],[0.6666666666666666]
['O atendimento também é muito bom.'],[0.7800000000000001],[0.9099999999999999]
['é uma panificadora bem localizada o pão tava bem quetinho rsrsrs.'],[0.5666666666666667],[0.4]
['e com um otimo atendimento.'],[0.75],[0.8]
['com varios tipos de lanches tbem.'],[0.5],[0.0]
"['Um mistura deliciosa, com massas variadas, custo beneficio excelente, ambiente acolhedor, para reunir familias e amigos.']",[1.0],[1.0]
['Bufet livre com grelhados na mesa.'],[0.8],[0.4]
['.'],[0.0],[0.0]
['Além de ótimas massas e sobremesas.'],[0.75],[0.8]
"['Excelente atendimento,  muito prestativo.']",[0.65],[0.6]
['Preço achei um pouco salgado.'],[0.5],[-0.1875]
['A típica cozinha italiana está bem representada na Barra pelo Ettore.'],[0.25],[-0.08333333333333333]
['Um ambiente aconchegante com diversas opções de massas e também carnes.'],[0.375],[-0.09999999999999999]
['A carta de vinhos também é interessante e existe a opção de tomar somente uma taça.'],[0.75],[0.25]
"['O restaurante possui mesas do lado de fora, ao centro e também um ambiente interno, mais reservado.']",[0.1625],[0.1]
"['As carnes são saborosas, bom preparadas, o buffet é bem variado, tem boas saladas, lagosta grelhada, polvo, e outras delícias.']",[0.42500000000000004],[0.2583333333333333]
['O atendimento é muito bom.'],[0.7800000000000001],[0.9099999999999999]
['O preço é justo para uma churrascaria com uma variedade tão boa de carnes.'],[0.5452380952380952],[0.32857142857142857]
"['Apesar da mesma decoração temática de boteco, o atendimento e o ""glamour"" de boteco se perde um pouco nessa unidade.']",[0.125],[0.0]
"['Se sua preferência é por um boteco mesmo, prefira o da Cidade Baixa.']",[0.0],[0.0]
"['Apesar da comida ser boa, faltaram garçons em número suficiente e ainda anotaram errado o meu pedido.']",[0.75],[0.09999999999999998]
['Atendimento excelente e comida maravilhosa!'],[1.0],[1.0]
['Possui opções de preços para todos os bolsos.'],[0.0],[0.0]
['Os pratos são muito bem servidos!!'],[0.3],[0.3125]
['Pra quem gosta de frutos do mar é um lugar ótimo!'],[0.75],[1.0]
['!'],[0.0],[0.0]
"['A culinária local é excelente, mas nada se compara ao cardápio e combinações que esse restaurante foi capaz de proporcionar.']",[0.5416666666666666],[0.5]
['São pratos que fazem a gente gemer de prazer!'],[0.0],[0.0]
['Indico a banda de tambaqui não é como as demais!'],[0.0],[0.0]
['- que vem acompanhada de uma  macaxeira grelhada que é de rezar.'],[0.0],[0.0]
['...'],[0.0],[0.0]
"['Ótimo ambiente para família, conta com parque infantil anexo, aonde as crianças se divertem enquanto os pais seguramente comem (as pizzas são muito boas, nunca comi as panquecas), recomendo a todos com família,']",[0.6547222222222222],[0.6275]
"['pizza maravilhosa, bem recheada, massa grossa.']",[0.7375],[0.35]
"['Decoracao encantadora, tem 2 andares.']",[1.0],[0.7]
['Chao coberto de areia.'],[0.0],[0.0]
['Atendimento otimo'],[0.75],[0.8]
"['nota 10,perfeito p o fim d tarde.']",[1.0],[1.0]
['Quem chega cedo tem mesas do lado d fora p curtir o mar'],[0.2833333333333333],[0.16666666666666666]
['O restaurante tem uma decoração belíssima e um ambiente requintado.'],[1.0],[0.85]
"['Os preços são caros, mas a refeição é simplesmente inesquecível!']",[0.85],[0.25]
['A melhor comida que provei na cidade.'],[0.3],[1.0]
"['No dia em que fomos, enfrentamos uma pequena fila de espera e, após o pedido,  esperarmos um bocado para o mesmo chegar à mesa.']",[0.4],[-0.25]
"['Ambiente de muito bom gosto, iluminação suave, tudo novinho!']",[0.36818181818181817],[0.15681818181818183]
"['Cardápio variadíssimo, de comida nordestina à oriental!']",[0.3],[0.25]
['Grande variedade também na parte das bebidas.'],[0.75],[0.8]
['Preço razoável.'],[0.6],[0.2]
"['Às sextas e sábados, de noite, tem música instrumental ao vivo, completando o charme do restaurante.']",[0.5],[0.13636363636363635]
['Grata surpresa!'],[0.0],[0.0]
"['Parece mais do mesmo, igual a vários outros restaurantes típicos de ""almoço de domingo com a família"", mas acredito que vale a pena registrar: tem um belo salmão no buffet, tem parquinho para as crianças, garçons e equipe bem treinada e orientada e bons preços para as promoções do dia, como a costela assada com molho barbecue, que serve muito bem 3 pessoas a R$ 98,00.']",[0.4444444444444444],[0.3064814814814815]
"['Contudo, alguém já citou, parece que resolveram aumentar consideravelmente o preço de outros itens para cobrir o desconto das promoções.']",[0.4125],[-0.012499999999999997]
"['Nada de anormal, até porque, sendo muito parecido com outros lugares, não é o tipo de restaurante que você vai mais de um domingo por mês.']",[0.679],[0.11499999999999999]
"['..Então, é a estratégia que a maioria dos empresários adota.']",[0.5],[0.5]
['.. Faz parte.'],[0.0],[0.0]
"['Lindo restaurante, ambiente aconchegante em meio a um arborizado jardim.']",[0.5833333333333334],[0.21666666666666667]
['Cardápio variado com ótimas opções de vinho e deliciosas sobremesas.'],[0.875],[0.9]
['Atendimento e pratos com qualidade e custo / benefício.'],[0.0],[0.0]
['Agradável ambiente\nLocal com estacionamento seguro'],[0.7833333333333333],[0.5666666666666667]
"['Local agradável, bem frequentado e com um serviço bem prestado.']",[1.0],[0.6]
['O atendimento superou a expectativa e é um diferencial do local.'],[0.0],[0.0]
['Certamente voltaria e indico para meus amigos.'],[0.0],[0.0]
"['Comida típica nordestina, pratos variados mas o que eu gosto mesmo é da carne de sol, boa qualidade, bom atendimento (caracterizado pela rapidez e são atenciosos), o restaurante é bem decorado e espaçoso, bom para família e crianças.']",[0.5666666666666668],[0.4222222222222222]
['A vista vale a visita!'],[0.1],[0.375]
['A comida é razoável e as bebidas são extremamente caras.'],[0.6499999999999999],[-0.15]
['O ambiente é muito gostoso e oferece uma vista panorâmica da cidade de São Paulo vista de um dos mais bonitos hotéis da cidade.'],[0.625],[0.6008333333333333]
['A partir das 18h tem rodízio de pizza e de crepe no Frontera de Copacabana.'],[0.0],[0.0]
['Fora a comida que é muito boa e o refil de refrigerante a decoração do local é demais.'],[0.4900000000000001],[0.5549999999999999]
['Fiquei encantada!'],[0.7],[0.875]
['!'],[0.0],[0.0]
['Local super agradável e cardápio com ótimas opcoes.'],[0.8055555555555555],[0.5777777777777778]
['Boa carta de vinho.'],[0.6000000000000001],[0.7]
['Excelente para um jantar romântico.'],[0.75],[0.5]
['Imperdível.'],[0.0],[0.0]
"['Café maravilhoso, pão de queijo bem torradinho, atendimento excelente com destaque para as lojas do Ateneu e shooping Midwey.']",[0.7666666666666666],[0.7333333333333334]
"['Gostei muito do barzinho, com música eletrônica em um local que so tem música sertaneja.']",[0.9],[0.3]
['Ótima opção para dar uma variada e ver gente bonita.'],[0.875],[0.825]
['A entrada custa 15 reais.'],[0.0],[0.0]
['As bebidas são caras la dentro.'],[0.7],[-0.5]
['gosto do Nae.'],[0.0],[0.0]
"['Da região, tem comida variada, pratos que não se encontra em outros restaurantes orientais.']",[0.375],[-0.125]
"[""servem um carpaccio de salmão com molho 'especial' muito bom, alem de harumakis que são uma delicia.""]",[0.6757142857142857],[0.6335714285714286]
"['Todavia, tenho notado que o atendimento tem sido ruim.']",[0.6],[-0.4]
"['.. da ultima vez, o garçon, desmotivado não sei porque, chegou a falta de educação.']",[0.06666666666666667],[0.0]
"['Pra se ter uma ideia, minha esposa, que como eu, tradicionalmente almoçamos no Nae, jurou nunca mais voltar.']",[0.75],[0.0]
['Cuidado Nae.'],[0.0],[0.0]
"['.. converse, treine seus atendentes.']",[0.0],[0.0]
['Restaurante com comida maravilhosa.'],[1.0],[1.0]
"['A decoração interna e a arquitetura externa são lindas, especialmente a cascata que fica na lateral (feita de alumínio em forma de escamas).']",[0.525],[0.2125]
['O  serviço é muito bom!'],[0.7800000000000001],[1.0]
['Melhor restaurante que conheci em João Pessoa!'],[0.3],[1.0]
['Fui em hibiscus e sai extremamente decepcionada.'],[0.375],[-0.375]
"['O local é lindo, comida boa, mas nao sabem escolher seus funcionários.']",[0.8],[0.7749999999999999]
"['Depois de um bom tempo numa fila dentro do taxi aguardando liberarem nossa entrada , fomos até a recepção onde encontramos um senhor e duas mocinhas.']",[0.39444444444444443],[0.05000000000000001]
"['Tal senhor, extremamente grosseiro e mal educado.']",[0.5666666666666668],[-0.19999999999999998]
"['Disse piadinhas, nos tratou mal porque estavamos indo em direção errada.']",[0.6888888888888888],[-0.4624999999999999]
['mas qual a função dele ali se não auxiliar o lugar certo já que estava na recepção e nós não sabíamos?'],[0.5357142857142857],[0.2857142857142857]
"['Preferiu fazer piadinhas , rebati a gracinha e ele me respondeu muito mal.']",[0.9333333333333333],[-0.2049999999999999]
"['Entramos, nos acomodamos e fomos a procura dos passeios de lancha.']",[0.2888888888888889],[-0.15555555555555559]
['Para nosso azar mais uma vez fomos atendidas pelo tal senhor que mais uma vez nos tratou mal.'],[0.6666666666666666],[-0.6999999999999998]
"['Perguntamos ao taxista que nos levou e ele disse que isso acontece com frequência e tal funcionário costuma agir assim , então porque o estabelecimento não toma providências?']",[0.21666666666666667],[-0.016666666666666663]
['Me senti ofendida e por esse motivo considero o local mais frustrante que visitamos em nossas ferias.'],[0.7],[0.04999999999999999]
['Não indicaria!'],[0.0],[0.0]
['Não vale a pena pagar caro e ainda ser tratada com grosseria.'],[0.35],[-0.22499999999999998]
"['Excelente lugar para ir com a família e amigos, Uma boa pedida e File de merluza, arroz de camarão.']",[0.8],[0.85]
['.. Ótimo atendimento.'],[0.75],[0.8]
['Excelente leitura da culinária japonesa.'],[0.5],[0.5]
['Gerentes e proprietários muito atenciosos.'],[1.0],[0.52]
"['Com propostas inusitadas e sem medo de misturar ""cozinhas"" (ceviche, barriga de porco, capucino de cogumelos).']",[1.0],[0.2]
['Ambiente bacana.'],[1.0],[0.6]
"['Sandro e Lucas o lugar é muito agradável, o prato que pedi tem um custo beneficio excelente (espaguete com molho de tomates e Camarões por R$ 63,00 para 2 pessoas).']",[1.0],[0.89]
"['A única ressalva é que tive que pedir para ser atendido algumas vezes, porém nada que comprometesse a experiência']",[0.55],[-0.1]
['Restaurante de comida mexicana muito bom localizado perto da Paulista.'],[0.39333333333333337],[0.33666666666666667]
['Sempre muito lotado e com novos opções de drinks como o mojito frozen.'],[0.37727272727272726],[0.16818181818181818]
"['Sanduíches muito bons e muito recheados, excelente preço e excelente atendimento.']",[0.77],[0.7775]
['Super recomendado!'],[0.6666666666666666],[0.41666666666666663]
"['excelente Cardápio, ótimo atendimento.']",[0.875],[0.9]
"['ha quem ache caro, mas o restaurante e de extrema qualidade.']",[0.85],[-0.3125]
"['ambiente super agradável, aconchegante e bem localizado.']",[0.8055555555555555],[0.24444444444444446]
"['Galeteria, várias opções de salada e massas, além do galeto.']",[0.475],[-0.3]
"['Para mim, todas cafeterias são iguais.']",[0.125],[0.0]
['..'],[0.0],[0.0]
['Melhor pizza de camarão de Porto Alegre!'],[0.3],[1.0]
['Atendimento cordial e muito rápido.'],[0.64],[0.3175]
['Local muito aconchegante!'],[0.9750000000000001],[-0.325]
"['Com um ambiente moderno inspirado no estilo novaiorquino e menu bem variado, nos surpreendeu a qualidade das carnes.']",[0.5515151515151515],[0.14545454545454548]
"['O garçom nos sugeriu de acompanhamento o linguine de pupunha, algo que eu não conhecia e gostei muito!']",[0.8],[0.75]
['Voltarei muitas vezes!'],[0.25],[0.3125]
"['Ambiente pra cima, bem descolado.']",[0.8450000000000001],[0.45499999999999996]
['Inconveniente alem da dificuldade de se estacionar é a demora no atendimento.'],[1.0],[-0.6]
['Os pratos e principalmente os drinks sao mais caros.'],[0.7333333333333334],[0.0]
"['Ambiente descontraído, empadas famosas e gente bacana tomando um choppinho depois do trabalho.']",[1.0],[0.55]
['Atendimento bom e o principal: eles servem o chopp brahma black!'],[0.45555555555555555],[0.21944444444444441]
['O cardápio de petiscos e bebidas é bem variado.'],[0.0],[0.0]
"['Os preços dos aperitivos são um pouquinho salgados, mas de maneira geral o Belmonte tem um bom custo-benefício.']",[0.5333333333333333],[0.1875]
"['Fui almoçar neste sábado, escolhemos o kilo.']",[0.0],[0.0]
['Não vi nada de diferenciado nos pratos.'],[0.6],[0.0]
['Comida comum na minha opinião.'],[0.5],[-0.3]
"['Os grelhados são bons, mas não de um nível superior.']",[0.55],[0.475]
['Dificilmente voltarei.'],[0.2708333333333333],[-0.14583333333333334]
['Não provei o japonês.'],[0.0],[0.0]
['Almocei com meu esposo e pedimos a opção do restaurant week.'],[0.0],[0.0]
['A apresentação do prato estava horrível e a comida absurdamente gordurosa.'],[1.0],[-0.75]
['Não tive condições de comer tudo.'],[0.5],[-0.5]
['Sensação horrível de dinheiro desperdiçado.'],[0.5],[-0.6]
"['Vale super a pena o rodízio, só não curti muito a parte do rodízio de sushi, mas no geral, acho que vale a pena a experiencia.']",[0.175],[0.25]
"['Estávamos em 4 pessoas e todos fomos de  Confit de Canard, há 2 opções de molhos para esse prato e o com vinho, especiarias e emulsão de foie estava excelente!!']",[1.0],[1.0]
['O Valor da rolha no restaurante é 70 reais.'],[0.0],[0.0]
['Ambiente aconchegante.'],[0.75],[-0.19999999999999998]
"['Preço um pouco Salgado e nossos pratos demoraram mais de 1 hora, totalmente Compreensível visto os acontecimentos recentes.']",[0.5],[0.078125]
['Desejo sucesso e prosperidade para os novos donos.'],[0.22727272727272727],[0.21818181818181817]
"['Restaurante com cozinha excelente, voltada a peixes e frutos do mar, boa carta de vinho e drinks bem feitos.']",[0.8],[0.85]
['Pratos bem montados e fartos.'],[0.0],[0.0]
"['Ambiente aberto e de bom gosto, vale a visita.']",[0.3],[0.15]
['Boa experiência em Salvador.'],[0.6000000000000001],[0.7]
"['Casarão lindo, bem decorado, comida maravilhosa.']",[1.0],[0.925]
['Acho que um dos libaneses que mais gostei.'],[0.65],[0.55]
['Ampla carta de vinho.'],[0.4],[-0.1]
['Ótimo pra almoço de domingo sem pressa.'],[0.75],[0.8]
"['Tem várias opções de pratos, combinações diferentes de sushi com uma especial atenção para os feitos com Salmão.']",[0.3904761904761904],[0.11904761904761905]
"['Quando o proprietário está atendendo, conversa de ótima qualidade garantida.']",[0.75],[0.8]
"['O menu executivo é maravilhoso, sabor incomparável com drinks e ambiente sofisticados!']",[1.0],[0.8125]
['Voltarei com certeza!'],[0.4444444444444444],[0.3125]
"['conheço todos os 3 restaurantes Feijão de Corda, o da Litorânea, o do São Marcos e este do Olho dágua.']",[0.0],[0.0]
['A comida não é lá essas coisas.'],[0.5],[0.0]
['.. depende muito do prato.'],[0.0],[0.0]
"['Comi um camarão na moranga que estava gostoso, mas num evento que participei, o buffet deixava a desejar com uma carne dura e um peixe meio passado.']",[0.6111111111111112],[0.20370370370370372]
"['a decoração é bonita, típica nordestina, porém, deixa a desejar quanto ao que serve.']",[0.75],[0.3416666666666667]
"['De que adianta ser bonito aos olhos se não é ao paladar, não é?']",[1.0],[0.85]
"['Valeu apena apesar de uma espera de meia hora,a recepção é acolhedora pois durante a espera  nos ofereceram porção de bata tinha frita e coca cola,apos fomos para uma mesa a qual o pedido sai rápido, e a carne deliciosa macia, também de entrada foi servido um pão a base de mel   bem   diferente e muito gostoso,a cebola que parece uma flor uma delicia,ambiente confortável atendimento legal,obs: as sobremesas são divinas.']",[0.6542857142857142],[0.38571428571428573]
"['Restaurante bem nordestino mesmo, cada prato delicioso, tem uma carne de sol coberta de queijo, divino, o rubacão vale a pena experimentar também, enfim podia falar de todos pois peguei um pouco de cada.']",[0.47500000000000003],[0.328125]
['..rsss.'],[0.0],[0.0]
"['..A decoração é muito surreal com um ambiente todo rural, tudo organizado, limpo, agradável.']",[0.6666666666666667],[0.35624999999999996]
['De todos este foi o Melhor restaurante que visitei em Maceió  Estão de parabéns!'],[0.3],[1.0]
"['Excelente localização a beira mar, com opções de pratos com frutos do mar, pizza entre outros.']",[1.0],[1.0]
['Local agradável com música ao vivo e bom atendimento.'],[0.7000000000000001],[0.47878787878787876]
"['Pães, doces e massas.']",[0.0],[0.0]
"['Vinhos, sucos e chás.']",[0.0],[0.0]
['Dificilmente deixará de agradar um cliente que busca uma padaria com produtos e bebidas saborosos.'],[0.29999999999999993],[-0.5]
"['O salão amplo, clean, cheio de granito no piso e nas mesas, mas as vantagens param por ai.']",[0.625],[0.35833333333333334]
"['O estacionamento é difícil e longe, o atendimento não chega comprometer, mas é meio esquisito, o s lanches são sem sabor, uma batata empanada é servida como rústica.']",[0.96],[-0.18]
['Os preços são exorbitantes pelo que oferece.'],[0.0],[0.1]
['Pelo mesmo valor dá para comer em locais melhores.'],[0.3125],[0.25]
['..'],[0.0],[0.0]
['Pedimos o almoço executivo e estava tudo uma delícia.'],[1.0],[1.0]
"['Carne generosa , suculenta e acompanhamentos deliciosos e à vontade.']",[1.0],[1.0]
['Garçons prestativos e atenciosos.'],[0.9],[0.4]
['Valeu muito a pena pela qualidade.'],[0.13],[0.39]
['Voltaremos com certeza.'],[0.4444444444444444],[0.25]
"['Os pratos acompanham salada, acompanhamentos e sobremesa.']",[0.0],[0.0]
"['É um restaurante típico, super aconchegante, pedimos uma mariscada.']",[0.6388888888888888],[-0.011111111111111108]
['.. deliciosa!'],[1.0],[1.0]
['Preço médio.'],[0.39999999999999997],[-0.15]
['.'],[0.0],[0.0]
['Atendimento excelente.'],[0.0],[0.0]
['.. gosto de lugares que valorizam a própria cultura.'],[0.0],[0.0]
['A Bahia é linda e está muito bem representada!'],[1.0],[0.6]
"['Lugar para um nome delicioso café com um Cokies muito especial o atendimento faz muito a diferença, sempre que vou ao shopping São Luís é ponto de para obrigatório .']",[0.6142857142857143],[0.48809523809523814]
"['Da recepção inicial ao final da conta, o restaurante é ótimo.']",[0.375],[0.4]
"['Atendimento impecável, pois é educado, simpático e te ajuda na escolha de tudo que você quer pedir quando é sua primeira visita.']",[0.5277777777777778],[0.4583333333333333]
['O Bar é sensacional.'],[0.6666666666666666],[0.6666666666666666]
"['Sem dúvida, o melhor Moscow mule do Rio de Janeiro!']",[0.3],[1.0]
['Parabéns a toda equipe do bar.'],[0.0],[0.0]
['O preço é justo para a qualidade é o atendimento.'],[0.5357142857142857],[0.2857142857142857]
['A comida é MUITO BOA é o atendimento é perfeito.'],[0.8900000000000001],[0.955]
"['Por favor, continuem assim, OIA.']",[0.0],[0.0]
"['O Rio precisa de lugares com esta qualidade, atendimento e este astral.']",[0.0],[0.0]
['Parabéns!!!!!!'],[0.0],[0.0]
"['Hoje, para mim, é um dos melhores restaurantes do Rio!']",[0.3],[1.0]
"['Atendimento ruim, os garçons estão despreparados, os pratos são gostosos, já os drinks são razoáveis.']",[0.7555555555555555],[0.16666666666666674]
"['O cardápio e a carta de vinhos, aliados ao atendimento e o novo endereço no Flamboyant comprovam a bela administração do Piquiras,']",[0.7272727272727273],[0.49318181818181817]
['Atendimento péssimo no horário de almoço durante a semana.'],[0.5],[-0.5]
['Comida cara e com porções pequenas.'],[0.55],[-0.375]
"['Trouxeram minha conta errada,prato do dia estava  na promoção em uma tábua na rua e quando a conta chegou estavam cobrando o preço do cardápio original.']",[0.825],[-0.0625]
['É uma das melhores opções de Porto Alegre para comer uma boa massa.'],[0.45000000000000007],[0.85]
['O atendimento é excelente fui atendido pelo garçom Gilson.'],[1.0],[1.0]
['O local fica no centro de Porto Alegre.'],[0.1],[-0.1]
['Recomendo ir de táxi ou uber.'],[0.0],[0.0]
"['Gostei muito do ambiente: uma casa antiga com muitos quadros, excelente para um jantar com um bom vinho.']",[0.62],[0.5800000000000001]
"['A melhor hamburgueria de João Pessoa poderia estar instalada em Manhattan, dado o seu estilo e a sua cozinha impecáveis.']",[0.525],[0.875]
['A mistura de ingredientes requintados e deliciosos torna a experiência muito aprazível e pede muitas voltas.'],[0.875],[0.8633333333333333]
['excelente ambiente e tempero maravilhoso.'],[0.875],[0.9]
['Os garcçons são bastante organizados e atenciosos e o valor não é  muito alto.'],[0.5384615384615384],[0.17948717948717952]
"['Excelentes opções de pratos, preços justos, atendimento na medida e ambiente super agradável.']",[0.8833333333333333],[0.6916666666666667]
"['Erraram no prato infantil da minha filha mas deixaram de cobrar, o que foi muito justo!']",[1.0],[1.0]
['Esta é nossa segunda visita e com certeza voltaremos mais vezes!'],[0.16666666666666666],[0.20833333333333334]
['Melhor bar e choveria para ir aos finais de semana!'],[0.3],[1.0]
"['Sempre excelentes comidas e petiscos para todos os gostos, frango, parmegianas, peixes e vários outros.']",[0.8166666666666668],[0.3]
['E nas sextas e domingos tem o DJ MK Jay tocando uma seleção de House para animar o fim de semana!'],[0.0],[0.0]
"['localizado em um quiosque no meio da quadra no sudoeste, oferece comida boa, barata e cerveja gelada.']",[0.45999999999999996],[0.12]
['ambiente agradável'],[0.9666666666666667],[0.7333333333333333]
['Eu acho este lugar incrível.'],[0.9],[0.6000000000000001]
"['As carnes são ótimas, não ha uma variedade muito grande, mas a qualidade do que é servido é muito, muito, bom.']",[0.6433333333333334],[0.5866666666666667]
"['O preço de uma refeição completa com mais ou menos duas cervejas, entrada, prato principal, licor, cafe e sobremesa para dois sai por aprox.']",[0.3666666666666667],[0.13333333333333333]
"['R$ 350,00.']",[0.0],[0.0]
"['Não é para todo bolso, mas vale a pena.']",[0.1],[0.3]
"['Lugar agradável, com música ao vivo de qualidade.']",[0.75],[0.36818181818181817]
['Pratos deliciosos e variados.'],[1.0],[1.0]
['Bom ambiente para família e amigos.'],[0.6000000000000001],[0.7]
"['Ambiente agradável, funcionários gentis, comida saborosa.']",[0.9333333333333333],[0.6666666666666666]
"['Observação se o cliente for usar cupom de desconto pois os horários são diferentes, o que acho absurdo.']",[0.8],[-0.25]
"['Esquina é bom para sair com os amigos, tem um ambiente propicio para uma boa conversa e uns drinks, vale a pena para relaxar depois de um  dia corrido nessa cidade louca haha']",[0.4142857142857143],[0.17142857142857143]
['Um restaurante que oferece um bom custo benefício.'],[0.30000000000000004],[0.39999999999999997]
['Comida gostosa.'],[0.6000000000000001],[0.7]
"['Não é um rodízio muito variado, mas atende bem com o básico.']",[0.3],[-0.1]
['Atendimento muito bom.'],[0.7800000000000001],[0.9099999999999999]
['Recomendo.'],[0.0],[0.0]
['20 biqueiras de cerveja.'],[0.0],[0.0]
"['Vários tipos, para agradar a todos.']",[0.5],[0.0]
"['Muita qualidade, tanto nas cervejas, quanto no atendimento.']",[0.0],[0.0]
['Vale a pena visitar e virar cliente!'],[0.47500000000000003],[0.43125]
"['Se o Fábio indicar uma cerveja, vá na dele.']",[0.0],[0.0]
['Raramente não acerta!'],[0.7178571428571429],[0.3285714285714285]
['O restaurante por si so ja vale a visita.'],[0.1],[0.3]
['Arquitetura exuberante.'],[0.3],[0.1]
"['Afora isso os pratos sao extremamente saborosos e bem servidos, atendem facilmente a 3 pessoas.']",[0.9166666666666667],[0.15416666666666667]
"['Ambiente muito agradável, climatizado,atendimento Cortez e atencioso,pratos deliciosos,ótimo pra reunir família ou amigos.']",[0.93],[0.7506666666666666]
['Excelente restaurante temático e ainda possui lembrancinhas que podemos comprar na saida do mesmo!'],[1.0],[1.0]
['Possui esquema de kg e mta variadade de comida tipica.'],[0.45],[-0.13333333333333333]
['COMIDA MARAVILHOSA!'],[1.0],[1.0]
['Com certeza indicaria e voltaria lá.'],[0.25],[0.0]
['Proximo aos principais hoteis proximo a praia e alguns hoteis possuem esquema de traslado para o mesmo.'],[0.21458333333333335],[0.06666666666666667]
['..'],[0.0],[0.0]
"['Ambiente agradável, atendimento bom !!']",[0.8],[0.8]
['Pratos para todos os gostos.'],[0.0],[0.0]
['... de entrada a casquinha de Siri é uma ótima opção !!!'],[0.75],[1.0]
"['pedi o famoso ""chiclete de camarão"" que vem 5 opções de queijo e achei muito gostoso (enquanto quente, quando esfria o queijo fica duro e enjoativo) as outras pessoas que estavam comigo experimentaram o esperto de lagosta (TOP), camarão ao catupiry (TOP tbm), camarão na manteiga com ervas da horta (excelente) e filet mignon ao molho vinho e pimenta verde com talharim ao molho parmesão (carne um pouco dura) de sobremesa pétit gateau (muito bom) e mousse de maracujá com doce de manga rosa e sorvete de tapioca (delicia de sobremesa típica) enfim , vale a pena !']",[0.6322883597883596],[0.1270436507936508]
['Super recomendo!'],[0.6666666666666666],[0.41666666666666663]
['Este restaurante é muito conhecido pela qualidade da sua comida.'],[0.0],[0.0]
['A especialidade são os frutos do mar.'],[0.0],[0.0]
['A moqueca de camarão é muito boa.'],[0.7800000000000001],[0.9099999999999999]
"['Lugar maravilhoso, comida de qualidade.']",[1.0],[1.0]
"['O preço não é barato, mas quem preza por uma excelente refeição vale muito a pena.']",[0.6],[0.3666666666666667]
"['Toda vez, que estou em Aracaju,eu almoço lá.']",[0.0],[0.0]
['Vale a pena ir  na sal e brasa.'],[0.1],[0.3]
"['Variedade de carnes, saladas, e buffet.']",[0.0],[0.0]
['Mas  Tem dias a noite q deixa a desejar.'],[0.0],[0.0]
['Preço altíssimo nas bebidas e sobremesas.'],[0.702],[0.20800000000000002]
['E ainda cobra couvert artístico por pessoa.'],[1.0],[0.3333333333333333]
"['O que acho que deveria ser opcional, e não obrigatório.']",[0.0],[0.0]
"['Excelente lugar para você apreciar aquela picanha suculenta, ótimo atendimento, ambiente climatizado para você saborear uma deliciosa picanha no bafo.']",[0.8125],[0.8]
['Excelente atendimento feito pelo Iago.'],[1.0],[1.0]
['Muito obrigada pela atenção.'],[0.26],[0.26]
['Restaurante com ótima qualidade e atendimento.'],[0.75],[0.8]
"['Almocei  neste restaurante por  ser o primeiro que apareceu pois estava com pressa para apanhar o avião, porém valeu muito pois desde a patola de caranguejo até ao cabrito no forno , estava todo muito bom embora a carta de vinhos ( parece geral em todos os restaurantes da região os vinhos são caros) fosse além do normal em questão de preço.']",[0.5105555555555555],[0.19333333333333333]
['O dono espanhol de Vigo muito atencioso.'],[0.5],[0.26]
"['A comida é muito gostosa mas o ponto alto é o atendimento, fomos atendido pela luzicleide e pelo marinaldo ambos são muito prestativos e atenciosos.']",[0.7333333333333334],[0.5333333333333333]
"['Lugar e música agradáveis, vale a volta.']",[0.55],[0.44999999999999996]
"['O único ponto de melhoria é que pedimos o camarão recheado com catupiry, apesar de eles terem usado um requeijão gostoso não era catupiry.']",[1.0],[0.0]
"['Ótimo restaurante, sendo uma boa pedida para quem come pouco.']",[0.6166666666666667],[0.4375]
['Bifê bastante variado e com sobremesas deliciosas.'],[0.65],[0.6]
['Atendimento ótimo!'],[0.75],[1.0]
['E moqueca muito boa.'],[0.7800000000000001],[0.9099999999999999]
['Ambiente bem descontraído excelente custo.'],[0.65],[0.6]
['benefício.'],[0.0],[0.0]
